text,label_ids
"0	omron hem 790it automatic blood pressure monitor with advanced omron health management software so far this machine has worked well and is very simple to use . it is nice to have immediate feedback on the bloodpressure effects of my various exercises , food consumption , and relaxation or stress levels .",[493]
"1	natural factors whey factors chocolate works well , but there is a lot of dead space in the container when you first open it up . the container comes 3 4 4 5 full and the rest in empty space .",[355]
"2	clif bar builder 's bar , 2 . 4 ounce bars i love the peanut butter builder 's bars . while amazon is great for so many things , a trip to tj 's is too good to pass up . a little cup of coffee , a sample or two and into the cart with some fresh vegetables and whatever else is irresistible that day . life does n't get much better . if tj 's were n't local ( perish the thought ! ) , i 'd order the bars from amazon . with amazon 's sales volume , 2 day fedex delivery and a sheltered place for the packages when they arrive , freshness has n't been a problem .","[497, 357, 313]"
"3	andis 1875 watt professional ceramic ionic hair dryer i was a little hesitant to purchase since it was rather cheap for a good ionic dryer but it worked great . i have 3c type hair and it dried my hair rather quickly and straight , with minimal frizz but it did die out exactly a year later . so i guess you get what you pay for .... but it was good while it lasted .",[]
"4	clif bar energy bars these were cheaper than what i had bought at sam 's and worked very well . they are very convient and i would recommend them to anyone not willing to make their own at a cheaper price because of the convience of having a good product , at a somewhat reasonable price compared to the marketplace . they tasted very good , maybe too good , my grands love them and could consume them at a high rate . then i had to consume them to keep up with their energy . truth is i probably needed them a lot more than they did . it was a good experience and i will buy them again when i do n't have the time to make homemade ones .","[376, 449, 480, 455]"
"5	gillette fusion power cartridges until i tried fusion catridges , i got decent shaves but not great . i was always cutting myself atleast once a week , especially on my chin . now , i get the smooth shaves and i never cut myself . i also think the shaves are closest to the skin that is possible for me . razors today are vastly superior to razors twenty years ago . i grew a beard for two years to avoid shaving . it seems every 2 3 years , a new shaving product comes out that is much better . i think fusion is that product . i like the power option as it seems my shaves are faster but maybe it is psychological . i like shaving now because of fusion .",[]
"6	fisher price bright beginnings stacking action blocks we played with these at a friend 's house when our son was about 10 months old . he really enjoyed playing with them then . we bought him his own set for his first birthday . he played with them for a little while , but now , at 18 months , never pulls them out to play with them anymore . we should 've gotten them when he was about 6 months old or so .",[]
7	sony rechargeable battery part npfe1 the replacement battery charged in less time then the oem . excellent value and allowed me to keep my older digital camera . fe1 battery kept 10mp camera fully functionalwhen charged with new digital ac dc charger .,[]
8	boppy nursing pillow with slipcover love this must have if your serious about breast feeding your baby or even bottle feeding too . very usefull but i did have friends who never used theres . its good for baby to use to lay one n when i was preg i loved it soo much ! would recommend !,[]
9	lumiscope stirrup stockings pair these are very comfortable and you can wear any color of socks . the only con is that it needs elastic at the top to keep them up . i do like them very much .,[382]
"10	balance bar gold triple layer energy bar ( pack of 15 ) i 've enjoyed these bars for several years and was delighted to see amazon had them , as they 've become hard to come by . despite some concerns from previous reviews regarding expiration dates and poor condition on delivery , i hoped that the problems were solved . if my order is any indication , they are fast delivery , good condition , the usual good taste .",[172]
"11	pero instant natural beverage , 7 ounce canisters ( pack of 6 ) i love this product . pero is so satisfying and full bodied , richer than a cup of coffee with no caffeine . i love that it contains chickory which is so good for the gi track , removes constipation and great for the liver . a lovely drink that is so healthy and good for you . i love starting my day with a hot cup of pero . completely satisfying with milk and sweetner .","[313, 455]"
"12	diva cup diva cup 2 post childbirth love it . easy to use , cost effective , really worth the money , the wash is a waste , i just use castile soap . if you need to "" dig "" for the steam then yes you did it wrong , you put it in there way too far , or you have some crazy vag . would amazon actually let someone submit a video review of such an item ? i 'm skeptical they could but intrigued that they offer the option ...",[]
"13	braun series 3 370 men 's shaver this is an excellent product that shaves nearly as close as the multi blade shavers that dominate the market now . if needed you could use it several times a day , since it is not at all abrasive to your skin . this razor is convenient and even cheaper than the multi blade razors when you consider the annual cost of blade refills .",[]
"14	tiny love gymini black , white and red i really like the play mat but the only thing my 2 month old likes is the mirror that comes with it . the musical flower only plays music for about 7 seconds so that 's not very useful . they need more toys with it . overall the only great thing about it is the mirror .",[419]
"15	bigelow tea ( 6 pack ) the flavor of bigelow 's earl gray tea is the best i have ever tasted . sophisticated , smooth , and mellow , with just the right blend of bergamot . i drink this decaffeinated version every evening . wonderful !",[8]
"16	vtech build discover workbench my son got this for christmas and he loves it ! there are lots of things to do , even for a 26 month old who ca n't quite follow the directions yet . he enjoys being able to turn the screws and bolts , pound the nails and saw the "" wood "" . it is great for his fine motor coordination . the project buttons are great for little boys . they have all the things boys love , like a car , helicopter and ( my son 's favorite ) a train ! the toy says the letter , the name of the object , then makes the sound of the object . in the "" fix it "" mode of the toy , you push a button on the front to select the mode , the toy leads the child through fixing the object . the colors are great and the toy names them and the shapes . the tools are a perfect size for little hands and look realistic enough that my son pulls them out to help daddy with projects ! my only complaint with the toy , and the reason why it did not get 5 stars , is that it has no volume control . the speaker is on the bottom so it is n't too bad when it in on the carpet , but when it is on a hard surface it can be quite loud . it also has to go through a fairly long sound sequence after you push the off button so you ca n't just shut it off to make it be quiet when needed .","[340, 182]"
17	moisturizing shampoo from kenra 10 . 1 oz good price for a great product . it 's less expensive than buying in a store or shop . i also use the kenra conditioner .,"[448, 64, 402, 323, 524, 95]"
"18	braun 7000 series syncro pro syncro replacement combo better than the originals ! the foil has the multi patterned opening which get more hairs growing in different directions , and the blade snaps right in and is razor sharp . much better solution than 100 for a new shaver .",[]
19	california exotics pearl butterfly arouser very poor quality . the butterfly 's wings are just too big floppy . the shaft is almost too long . those pearls make a terrible grinding noise until they stop moving altogether because they 've jammed .,"[513, 291, 444]"
20	socker boppers this is horrible i bought 1 for my daughter ( 5 years old ) and it brock her friends jaw ! ! ! ! it also bopped on the 3rd day .... dont buy this toy ! ! ! !,[]
"21	kiddopotamus tinydiner placemat i highly recommend this product . i own one and use it all the time . my toddler likes to put anything and everything in his mouth as any one would and this placemat helps make sure he only eats what is clean and has less bacteria . it is also durable , flexible and easy to clean and once done , just roll it and put it away . amazing .",[]
